കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Type
ചിണ്ടൻ ചുണ്ടെലിയേറെ വിരണ്ട് തട്ടിൻ മുകളിലിരിക്കുന്നു,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
മോനേ മോനേ പേനയെടുക്കൂ ആനയൊന്നു വരക്കൂ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
ആനയെ ചേലിൽ വരച്ചതാര്?,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
അഛനല്ലമ്മയല്ലമ്മുക്കുട്ടി,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
വാലുള്ള പൂച്ച ചേലുള്ള പൂച്ച,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
കാലത്തു തന്നെ പാലങ്ങു തട്ടി,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
അരിമണി വിതറിയ നേരത്ത്,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
പ്രാവുകളെല്ലാം ചാരത്ത്,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
വാലുള്ള പട്ടം നൂലുള്ള പട്ടം,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
ചേലുള്ള പട്ടം ബാലൂന്റെ പട്ടം,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
ഓലക്കാലിലെയോലപ്പീപ്പിയതൂതാൻ കിട്ടുകിലെന്തുരസം,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
തുമ്പിയുള്ള കൊമ്പൻ കുമ്പയുള്ള കൊമ്പൻ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
അമ്പലത്തിലാറാട്ടിന്  മുമ്പിലാണ് കൊമ്പൻ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
പയ്യനുമുന്നിൽ പയ്യു  നടന്നൂ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
പയ്യിനുപിന്നിൽ പയ്യൻ പയ്യെ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
കുട്ടികൾ തൻ മനതാരിലെന്നും,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
വെട്ടം പകരുന്ന ദീപമാണമ്മ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
കള കളമിളകി മറിഞ്ഞൊഴുകും പുഴ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
തെളിനീരേറ്റു കുതിക്കുന്ന പുഴ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
കുണ്ടുകുളത്തിൽ ഞണ്ടു പിടിക്കാൻ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
തണ്ടനുമൊപ്പം മണ്ടനുമുണ്ടേ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
കൊത്തിക്കൊത്തി തത്തയിരിപ്പൂ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
അത്തിമരത്തിൻ പൊത്തിൽ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
ചെത്തി മിനുക്കിയ മുറ്റത്ത് ചിത്തം കവരുമൊരത്തം,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
ആരാരു നിൻറെയീകണ്ണെഴുതി,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
കുന്നിമണിയൊന്നു ചൊല്ല്,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
ചേലേറും മയിലേ നിന്നുടെ പീലിക്കെന്തൊരു ചന്തം,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
ഞാനെന്റെ നയനങ്ങൾ തുറക്കാം സമുദ്രം പോൽ,,അയ്യപ്പപണിക്കർ,കവിത
നാഡികൾ വിളിക്കുമ്പോൾ നാമൊന്നായ് ജനിക്കില്ലേ?,,അയ്യപ്പപണിക്കർ,കവിത
ഓടുന്ന മാനുകൾ പാടുന്ന കാവുകൾ,,അയ്യപ്പപണിക്കർ,കവിത
ഓളം തല്ലുമിക്കായലു മയ്യാ,,അയ്യപ്പപണിക്കർ,കവിത
ഇത്തടാകത്തിലീനീലനിലാവിലിത്തിരികൂടിക്കഴിക്കാം,,അയ്യപ്പപണിക്കർ,കവിത
നാടൻ പെണ്ണേ നീയിത്രക്കൊരു,,അയ്യപ്പപണിക്കർ,കവിത
നാണം കാട്ടാനെന്തുള്ളൂ,,അയ്യപ്പപണിക്കർ,കവിത
പണ്ടുപണ്ടൊരു പനിനീർപ്പൂ,,അയ്യപ്പപണിക്കർ,കവിത
ച്ചെണ്ടു വിരിഞ്ഞു വിടർന്നല്ലോ,,അയ്യപ്പപണിക്കർ,കവിത
ഇന്നലെ മുല്ല വിരിഞ്ഞു നിലാവിന്റെ വള്ളികൾ,,അയ്യപ്പപണിക്കർ,കവിത
ചുറ്റിപ്പിടിച്ചു താരങ്ങളിൽ,,അയ്യപ്പപണിക്കർ,കവിത
പാകിക്കൊണ്ടിരുന്നു ഞാൻ പാതയിലങ്ങിങ്ങേതോ,കേക,അയ്യപ്പപണിക്കർ,കവിത
പാതിരാക്കിനാവിന്റെ  പേക്കോല വല മാത്രം,കേക,അയ്യപ്പപണിക്കർ,കവിത
വരവായിവസന്തം മലർവനിയിൽ തേന്മണമായ്,,അയ്യപ്പപണിക്കർ,കവിത
വിടരാൻ വൈകിപ്പോയ താമരപ്പൂമൊട്ടിനെ,കേക,അയ്യപ്പപണിക്കർ,കവിത
വിരലാൽ നുള്ളിച്ചീന്തീ വേദന മുകർന്നൂ ഞാൻ,കേക,അയ്യപ്പപണിക്കർ,കവിത
ഞാനുമെൻ സ്വപ്നത്തിന്റെ ഭാണ്ഡവുമിന്നി,കേക,അയ്യപ്പപണിക്കർ,കവിത
ഗ്രാമവീഥിയെക്കടന്നകന്നകന്നു പോകുന്നെങ്കിൽ,കേക,അയ്യപ്പപണിക്കർ,കവിത
ഇന്നും ഞാനറിയാതിരിക്കെക്കരളിൽവിങ്ങിയിരിക്കും ദുഃഖം.,,അയ്യപ്പപണിക്കർ,കവിത
എന്നോടൊന്നുംപറയില്ലെങ്കിലുമെങ്കിലുമെല്ലാമറിയുന്നൂ ഞാൻ.,,അയ്യപ്പപണിക്കർ,കവിത
ആകാശങ്ങൾ നര(യ്ക്കും) പരിചയമാകെ മറക്കും,,അയ്യപ്പപണിക്കർ,കവിത
തെരുവുകൾ കൂരിരുൾ മൂടും താരകൾ,,അയ്യപ്പപണിക്കർ,കവിത
ഓർമ്മ വിളർത്തുവിറയ്ക്കുംകാലമുറങ്ങാൻ പോകും,,അയ്യപ്പപണിക്കർ,കവിത
രണ്ടു തോളിലും കേറിത്തൂങ്ങുന്ന പ്രശ്നങ്ങളെൻ,കേക,അയ്യപ്പപണിക്കർ,കവിത
ചുറ്റിക്കറങ്ങിക്കറങ്ങി നിന്നൂ,കേക,അയ്യപ്പപണിക്കർ,കവിത
നിത്യ ദുഃഖത്തിലി സൗരയൂഥം.,,അയ്യപ്പപണിക്കർ,കവിത
ശ്യാമമീ വനാന്തരം ശ്യാമമെൻ ഹൃദന്തരം,കേക,അയ്യപ്പപണിക്കർ,കവിത
ശ്യാമമെൻ സ്വപ്നാംബരം കത്തിച്ചു കളഞ്ഞുഞാൻ,കേക,അയ്യപ്പപണിക്കർ,കവിത
രാഗതാളങ്ങൾ വിടർത്തും വയലിന്റെ,,അയ്യപ്പപണിക്കർ,കവിത
നാദലയാഞ്ജലി നാഗകന്യാസ്‌മൃതി,,അയ്യപ്പപണിക്കർ,കവിത
ഓർമ്മയിൽ നോവുന്നതു മറക്കാൻ കഴിഞ്ഞെങ്കിൽ,കേക,അയ്യപ്പപണിക്കർ,കവിത
ഓർമ്മകളിനിമേലിൽ പിറക്കാതിരുന്നെങ്കിൽ,കേക,അയ്യപ്പപണിക്കർ,കവിത
ഞെട്ടിയുണർന്നു പിടഞ്ഞെഴുന്നേറ്റുടൽ,,അയ്യപ്പപണിക്കർ,കവിത
മുട്ടിയുരുമ്മി ജ്വലിച്ചുപായുന്നിതാ,,അയ്യപ്പപണിക്കർ,കവിത
‘അയ്യർകളി കളിക്കാനാരെല്ലാമയ്യൻങ്കാളീ?’,,അയ്യപ്പപണിക്കർ,കവിത
ഒട്ടുമുറക്കംകിട്ടാതങ്ങനെഞെട്ടിയുണർന്നതിനാലിന്നർക്കനൊ,,അയ്യപ്പപണിക്കർ,കവിത
രിത്തിരി നേർത്തെയുദിക്കണമെന്നൊരു മോഹം വന്നു,,അയ്യപ്പപണിക്കർ,കവിത
ഹേ ഗഗാറിൻ ഗഗനചാരിൻ,,അയ്യപ്പപണിക്കർ,കവിത
പഥികനെൻ വഴി വിട്ടുമാറിൻ,,അയ്യപ്പപണിക്കർ,കവിത
പ്രസവലീവെടുത്തുംകൊണ്ടകലെപ്പോയ് ഹേമന്തം,,അയ്യപ്പപണിക്കർ,കവിത
കസവിട്ടകിനാവിന്റെ തള്ളയായല്ലോ.,,അയ്യപ്പപണിക്കർ,കവിത
സന്ധ്യ പോയ് മെല്ലെയിരുട്ടായ് കുരുക്കുത്തി,,അയ്യപ്പപണിക്കർ,കവിത
മുല്ല വിരിഞ്ഞു മുകളിൽ മണവുമായ്,,അയ്യപ്പപണിക്കർ,കവിത
കണ്ണിൽ വിളക്കുമായ് കാത്തിരിക്കുന്നമ്മ,,അയ്യപ്പപണിക്കർ,കവിത
വണ്ടികേറാതയാൾ വീട്ടിലെത്തുമ്പോഴും,,അയ്യപ്പപണിക്കർ,കവിത
സംശയാത്മാക്കൾ നശിക്കുന്നുവെങ്കിലും,,അയ്യപ്പപണിക്കർ,കവിത
സംശയമില്ലായ്‌കിലില്ല വിശ്വാസവും,,അയ്യപ്പപണിക്കർ,കവിത
മധുവിധുനുകരാൻപോകുന്നേരം,,അയ്യപ്പപണിക്കർ,കവിത
പറയുകയായി മുത്തശ്ശി,,അയ്യപ്പപണിക്കർ,കവിത
ശങ്കരനെന്നൊരുകിങ്കരനൊരുനാൾ,,അയ്യപ്പപണിക്കർ,കവിത
പെണ്ണുകെട്ടിനായ് തണ്ണിയടിച്ചു,,അയ്യപ്പപണിക്കർ,കവിത
ആകാശമിടിഞ്ഞോ? – ഇല്ല,,അയ്യപ്പപണിക്കർ,കവിത
അമ്പിളിനിന്നുകരഞ്ഞോ? ഇല്ല,,അയ്യപ്പപണിക്കർ,കവിത
എണ്ണയൊഴുകുംമെയ്യുമായി കണ്ണുകളിൽ തെറിയുമായി,,അയ്യപ്പപണിക്കർ,കവിത
ആളുതിക്കിത്തിരക്കിയേറുന്നതാണുചന്തയതാണെൻ പ്രപഞ്ചം,,അയ്യപ്പപണിക്കർ,കവിത
